reference,nom,hexa,rgb_r,rgb_g,rgb_b,cmyk_c,cmyk_m,cmyk_y,cmyk_k,hsv_h,hsv_s,hsv_v
RAL 3016,Rouge Corail,#B32821,179,40,33,0,78,82,30,0.01,0.82,0.7
RAL 3017,Rose,#E63244,230,50,68,0,78,70,10,0.98,0.78,0.9
RAL 3018,Rouge Fraise,#D53032,213,48,50,0,77,77,16,1,0.77,0.84
RAL 3020,Rouge Signalisation,#CC0605,204,6,5,0,97,98,20,0,0.98,0.8
RAL 3022,Rouge Saumon,#D95030,217,80,48,0,63,78,15,0.03,0.78,0.85
RAL 3024,Rouge Fluorescent,#F80000,248,0,0,0,100,100,3,0,1,0.97
RAL 3026,Rouge Fluorescent Lumineux,#FE0000,254,0,0,0,100,100,0,0,1,1
RAL 3027,Rouge Framboise,#C51D34,197,29,52,0,85,74,23,0.98,0.85,0.77
RAL 3028,Rouge Pur,#CB3234,203,50,52,0,75,74,20,1,0.75,0.8
RAL 3031,Rouge Oriental,#B32428,179,36,40,0,80,78,30,1,0.8,0.7
RAL 3032,Rouge Rubis Nacré,#721422,114,20,34,0,82,70,55,0.98,0.82,0.45
RAL 3033,Rose Nacré,#B44C43,180,76,67,0,58,63,29,0.01,0.63,0.71
RAL 4001,Rouge Lilas,#6D3F5B,109,63,91,0,42,17,57,0.9,0.42,0.43
RAL 4002,Violet Rouge,#922B3E,146,43,62,0,71,58,43,0.97,0.71,0.57
RAL 4004,Violet Bordeaux,#641C34,100,28,52,0,72,48,61,0.94,0.72,0.39
RAL 4005,Bleu Lilas,#6C4675,108,70,117,8,40,0,54,0.8,0.4,0.46
RAL 4006,Pourpre Signalisation,#A03472,160,52,114,0,68,29,37,0.9,0.68,0.63
RAL 4007,Violet Pourpre,#4A192C,74,25,44,0,66,41,71,0.94,0.66,0.29
RAL 4008,Violet Sécurité,#924E7D,146,78,125,0,47,14,43,0.88,0.47,0.57
RAL 4009,Violet Pastel,#A18594,161,133,148,0,17,8,37,0.91,0.17,0.63
RAL 4010,Telemagenta,#CF3476,207,52,118,0,75,43,19,0.93,0.75,0.81
RAL 4011,Violet Nacré,#8673A1,134,115,161,17,29,0,37,0.74,0.29,0.63
RAL 4012,Mûre Nacré,#6C6874,108,104,116,7,10,0,55,0.72,0.1,0.45
RAL 5000,Bleu Violet,#354D73,53,77,115,54,33,0,55,0.6,0.54,0.45
RAL 5001,Bleu Vert,#1F3438,31,52,56,45,7,0,78,0.53,0.45,0.22
RAL 5002,Bleu Outremer,#20214F,32,33,79,59,58,0,69,0.66,0.59,0.31
RAL 5003,Bleu Saphir,#1D1E33,29,30,51,43,41,0,80,0.66,0.43,0.2
RAL 5004,Bleu Noir,#18171C,24,23,28,14,18,0,89,0.7,0.18,0.11
RAL 5005,Bleu Sécurité,#1E2460,30,36,96,69,63,0,62,0.65,0.69,0.38
RAL 5007,Bleu Brillant,#3E5F8A,62,95,138,55,31,0,46,0.59,0.55,0.54
RAL 5008,Bleu Gris,#26252D,38,37,45,16,18,0,82,0.69,0.18,0.18
RAL 5009,Bleu Azur,#025669,2,86,105,98,18,0,59,0.53,0.98,0.41
RAL 5010,Bleu Gentiane,#0E294B,14,41,75,81,45,0,71,0.59,0.81,0.29
RAL 5011,Bleu Acier,#231A24,35,26,36,3,28,0,86,0.82,0.28,0.14
RAL 5012,Bleu Clair,#3B83BD,59,131,189,69,31,0,26,0.57,0.69,0.74
RAL 5013,Bleu Cobalt,#1E213D,30,33,61,51,46,0,76,0.65,0.51,0.24
RAL 5014,Bleu Pigeon,#606E8C,96,110,140,31,21,0,45,0.61,0.31,0.55
RAL 5015,Bleu Ciel,#2271B3,34,113,179,81,37,0,30,0.58,0.81,0.7
RAL 5017,Bleu Signalisation,#063971,6,57,113,95,50,0,56,0.59,0.95,0.44
RAL 5018,Bleu Turquoise,#3F888F,63,136,143,56,5,0,44,0.51,0.56,0.56
RAL 5019,Bleu Capri,#1B5583,27,85,131,79,35,0,49,0.57,0.79,0.51
RAL 5020,Bleu Océan,#1D334A,29,51,74,61,31,0,71,0.59,0.61,0.29
RAL 5021,Bleu Eau,#256D7B,37,109,123,70,11,0,52,0.53,0.7,0.48
RAL 5022,Bleu Nuit,#252850,37,40,80,54,50,0,69,0.66,0.54,0.31
RAL 5023,Bleu Distant,#49678D,73,103,141,48,27,0,45,0.59,0.48,0.55
RAL 5024,Bleu Pastel,#5D9B9B,93,155,155,40,0,0,39,0.5,0.4,0.61
RAL 5025,Bleu Gentiane Nacré,#2A6478,42,100,120,65,17,0,53,0.54,0.65,0.47
RAL 5026,Bleu Nuit Nacré,#102C54,16,44,84,81,48,0,67,0.6,0.81,0.33
RAL 6000,Vert Patine,#316650,49,102,80,52,0,22,60,0.43,0.52,0.4
RAL 6001,Vert Emeraude,#287233,40,114,51,65,0,55,55,0.36,0.65,0.45
RAL 6002,Vert Feuillage,#287233,45,87,44,65,0,49,66,0.33,0.49,0.34
RAL 6003,Vert Olive,#424632,66,70,50,6,0,29,73,0.2,0.29,0.27
RAL 6004,Vert Bleu,#1F3A3D,31,58,61,49,5,0,76,0.52,0.49,0.24
RAL 6005,Vert Mousse,#2F4538,47,69,56,32,0,19,73,0.4,0.32,0.27
